"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12"
"YMR296C",3.10870403352613,-0.750304505563158,-0.569065891050006,-0.0422328564295391,-0.214630784222899,0.574600159071219,-0.21094329627775,0.0712186412541186,0.00185288907916989,0.0448663821494423,0.00762204740060263,8.71525074330748e-15
"YDR232W",-1.43232099967922,0.439803511567593,-1.18828994082804,1.82207159881613,1.04493709297547,0.468949343793551,-0.850881101004991,0.0495196143370403,-0.244515419042384,0.815662625283892,-1.02924543591158,1.88737914186277e-15
"YGR190C",0.759207676690764,-0.595124634223726,0.372439730711429,-0.231199458327029,2.11157817924818,-0.202437085644284,2.07517290093226,0.413452040780113,0.148835733747678,0.710750656229535,0.529860615593001,-2.12052597703405e-14
"YHR116W",0.486571091619678,1.91100168558081,0.112910924100378,0.165283433973255,-1.81743873879761,1.74408517979555,-0.0214515698168756,-0.0926213989895578,0.345003536492811,-0.725404069507281,-0.349514626425668,-1.28785870856518e-14
"YDR313C",-3.28742791051389,0.307261230631239,0.0848049105861987,0.160695757982126,-0.0291228327115113,-0.0110528153362197,-0.195627762967786,0.00958517123382799,-0.0780922680267557,0.0613498415435866,-0.0360812272959718,3.33066907387547e-15
"YFR018C",3.03330816903516,0.990298420527208,0.243279036341951,0.405526870742516,-0.0612839055378862,-0.0645603584841954,-0.34102373248058,-0.684825148376967,0.0581653921215661,-0.0185844676642878,0.112743065054119,9.38138455808257e-15
"YKL007W",-2.94046948350978,1.12271908770066,-0.0508792185824953,0.321809203796762,0.280944348895026,0.437231729463453,0.539456852031856,-0.227106003999712,0.0900814420824788,0.254013619044217,0.484895487370633,1.26981758441502e-14
"YIL048W",-3.18649869078889,-0.736851284661832,-0.059121932720656,0.437517112328414,-0.104836156312483,-0.175139304497709,0.133290362079485,0.018824167741929,0.133730220474383,-0.182507023356985,-0.080419946737351,-1.11577413974828e-14
"YDL213C",3.24347133414092,-0.0707353940411858,0.56491810250795,0.0210272594767207,0.104010405290809,0.140485451515214,-0.199915063711352,-0.0279122078618907,-0.0458391588421187,0.328500851561606,-0.133855059453759,8.21565038222616e-15
"YDR443C",-3.18994662195543,-0.16559676259102,0.604284772671583,0.341328018845078,0.477343425823484,-0.020764920938283,0.1427845989914,-0.0129106169202063,0.210012140502884,-0.131886672364907,0.0513182090415281,-1.72084568816899e-15
"YNL292W",3.30621025446163,-0.00233501000900388,0.113962644932789,0.0609130574910102,0.152503076762797,0.00273945827160255,0.101441299464567,0.0371752672223457,-0.0635435617633046,0.0322699954722177,-0.150114860728423,-7.60502771868232e-15
"YOR324C",-2.97522839577383,-0.442746479973231,-0.134654445580385,0.472119057071945,0.155882334047298,-0.064149679717038,-1.2493321212989,-0.163510587462217,-0.20221362416454,0.0469989510472104,-0.133011616244968,4.08006961549745e-15
"YNL134C",-3.2080689699165,0.387210119789333,-0.299969413520451,0.259166745595152,-0.0484543488633281,0.443314610385174,0.0707412928663801,-0.211488081389301,-0.288517237196959,0.095400791434636,0.126220762772105,8.96505092384814e-15
"YKL100C",-3.2796550730819,-0.380121918693275,0.0225059485555346,0.153742354838348,-0.00828305392385403,0.148173970215249,-0.00630197099772914,-0.182889828819051,-0.0948507415317216,0.0141422081263229,0.0774311223379156,6.88338275267597e-15
"YOR192C-B",-3.17785415931985,-0.393742149073816,0.510595817782142,0.352007376764149,-0.412747223190148,0.124885026018155,-0.03541408100351,0.0344602589972939,-0.492836545332388,-0.0620773950873363,-0.0517901744938364,5.55111512312578e-17
"YIL146C",-3.30294584106796,-0.0904848538050442,-0.0997311776696293,0.0910207171222583,-0.0504766173002483,-0.159011896059589,-0.0964077579467255,0.0451182530273714,0.0767926393229906,0.0162777254021964,0.0212811138149093,0
"YNL218W",-1.55768671444905,0.851784925284543,-0.565103830235799,1.22683242444281,1.37720230116659,-0.774997644731717,-1.63108522855199,0.343143165518179,0.453365134046446,-0.406282719861943,-0.43190054657477,1.76386683037322e-14
"YIL121W",2.80519136481348,0.150178103171848,-0.744260244657609,-0.186107311421853,0.436711419937842,-1.28364849944542,-0.535258784028208,-0.0649854420592956,0.482919090484676,-0.161022086391267,0.234983141859164,-6.77236045021345e-15
"YNL228W",2.86283138032668,0.899708143220569,0.474280928542127,0.321896093154042,0.677668877108763,0.0017724306959559,-0.556875913985353,0.588543536810934,-0.572471107501835,0.442830223147801,-0.0746460293571236,8.99280649946377e-15
"YDL167C",3.31216532107339,-0.135835412938901,0.0493964207719838,0.0243620597962199,-0.0155666107820809,0.0167932863251313,0.144788934443469,-0.0182652486460822,-0.00883213144403257,0.0526117488598876,-0.0639925287093245,-4.66293670342566e-15
"YPL214C",-0.672654996873515,-1.31718134499717,0.700689463458928,0.897233447647653,-0.0592804926609274,-1.39790268451539,-1.64857135851235,1.50459873894583,0.632239128801447,-0.402093665096448,-0.301601507791579,-2.24820162486594e-15
