Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XR_011817165.1	0.163634	0	0	0	0	0	0.356551	0	0	0	0	0	0.305598	0	0
XM_027239815.2	222.232	302.329	300.583	224.685	364.86	258.7	127.647	180.855	242.131	230.28	224.599	241.106	206.47	182.049	279.148
XR_011817170.1	8.81214	9.19427	8.83344	7.8329	10.1512	11.5019	8.47661	8.01366	8.60154	11.162	9.78223	10.1256	11.5238	9.3791	11.7466
XR_011817183.1	0.056016	0	0	0.049886	0	0	0	0.274657	0	0	0	0.462539	0.207691	0	0.062602
XR_011817192.1	0	0	0.130025	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817177.1	0	0	0.181032	0	0	0	0	0	0	0	0	0.024607	0	0	0
XR_011817195.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817198.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817206.1	0	0	0.033245	0	0	0	0.032464	0	0	0	0	0	0.05049	0	0
XR_011817215.1	0.12526	0.453313	0.233484	0.36974	0.525843	0.405247	0.211223	0.189598	0.480285	0.183477	0.349773	0.309218	0.265636	0.284521	0.17396
XR_011817216.1	13.835	10.0826	5.06013	17.7797	8.25761	7.88004	10.9011	5.08697	20.605	2.40279	7.49555	5.16856	12.2971	18.4163	9.73983
XM_027224998.2	2.47228	2.10077	0.602882	2.33173	1.50199	1.16178	2.27553	1.77162	2.94079	0.461045	1.11669	2.36131	4.97451	2.73797	1.50317
XR_011817218.1	0.133602	0.057927	0.096169	0.23085	0.029021	0.036439	0	0.183673	0.179186	0.452795	0.485528	0.104092	0.534193	0.542173	0.098277
XR_011817224.1	3.27303	4.22213	4.0288	2.25015	3.62573	3.28909	1.80096	1.97918	1.97725	3.3858	3.54014	4.19216	2.65054	2.37357	1.7515
XM_027246709.2	0.034277	0.117112	0.031597	0.344338	0.57521	0	0.384414	0.085786	0.065123	0	0.042989	0.451079	0.718783	0	0.39337
XM_072069107.1	31.8565	35.0297	32.9414	28.5447	32.9488	34.6282	31.4088	32.4968	32.3536	38.4158	38.4191	38.5824	34.4449	33.2817	30.9818
XR_011817225.1	3.86674	5.19408	3.67442	2.56273	4.66242	3.06271	2.64215	4.73219	5.03363	3.03472	4.12424	3.78956	3.87043	5.05042	5.24853
XR_011817226.1	0.293399	0.623118	0.36844	0.23868	0.199475	0.141944	0.198924	0.234774	0.740698	0.080004	0.271094	0.140655	0.174697	0.56026	0.171395
XR_011817227.1	1.89145	0	2.95304	0	2.60061	3.42542	0	0.556616	2.51394	1.62057	0	1.20781	0	2.15532	2.16994
XR_011817228.1	0.030827	0.053612	0.319711	0.48857	0.062888	0.117558	0.028946	0.065346	0	0.108862	0	0.059161	0.270618	0.113628	0.036051
XR_011817230.1	0.347929	0.587974	0.291463	0.668572	0.644617	0.158635	0.228509	0.416657	0	0	0.276057	0.112357	0	0	0.180436
XR_011817235.1	0	0	0	0.742406	0	0	0	0	0	0.512218	0	2.34622	0	0	0
XM_072079290.1	2.00403	2.81192	1.55418	1.31002	3.30022	0.961389	0.639216	3.36541	2.0126	1.49287	1.15072	0.731509	1.17637	1.76993	2.98276
XR_011817242.1	0	0	0	0	0	0	0	0	0	0.305138	0	0.183811	0	0	0
XR_011817243.1	0	0	0	0	0	0	0	0.021068	0	0.949687	0	0.277533	0	0	0
XR_011840758.1	0.59096	0.408733	0.645618	0.25291	0.329191	0.485209	0.259203	0.470455	0.61081	0.475464	0.550388	0.12343	0.395455	0.541704	0
XM_072049470.1	24.2588	24.7767	25.577	16.5757	22.2556	28.5561	23.7942	27.3346	20.9242	27.7975	41.5784	32.4482	23.0345	24.715	24.2856
XR_011817245.1	0	0.012001	0	1.7825	0	0.090246	0.025889	0	0	1.76928	0	1.24675	0	0.056532	0.064578
XM_072074124.1	0.221357	0.178802	0.267636	0.379025	0.505115	0.304018	0.387587	0.259653	0.072049	0.744812	0.354593	0.346083	0.552316	0.302548	0.195452
XR_011817252.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_072054486.1	4.747	4.9848	0.424527	3.09436	1.32095	1.69304	0.816725	1.88337	5.76074	1.37901	2.31425	1.05389	4.87951	4.98895	1.88992
XR_011817253.1	0	0	0	0	0.02642	0	0.015211	0	0	0.039765	0	0.031068	0.031577	0.039783	0.037864
XR_011817258.1	0.102906	0	0.791517	0.104644	0	0.658451	0.808616	0	0.63875	0.850492	0	0	0	0	0
XR_011817259.1	0.019907	0	0	0.022596	0.566463	0	0	0.068852	0.10085	0	0.38886	0.070716	0	0.055217	0
XM_027238931.2	13.1429	11.3141	11.5641	11.8626	9.61718	12.3079	9.22712	9.69013	10.1246	15.048	13.7376	14.29	14.4523	13.7714	11.3262
XR_011817262.1	3.3996	3.55407	3.47875	2.3999	3.86293	2.82378	2.67024	4.14316	2.88461	3.52326	3.84676	3.71325	3.17702	3.99819	2.96434
XR_011817263.1	0.282722	0.101647	0.197974	0.326514	0.762068	1.04336	0.198714	0.535605	0.226171	0.604466	2.18273	1.38917	0.091008	0.206263	0.054621
XM_027241309.2	54.2194	57.0165	40.3101	33.7959	64.5449	54.496	58.2245	70.8067	64.2904	41.0391	51.6496	49.7592	48.0188	61.236	50.08
XM_072077957.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817269.1	0	0	0	0.02536	0	0	0.036434	0	0	2.91327	0.035702	0	0.107676	0	0
