Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XM_027264209.2	1289.2	1510.71	1554.88	1136.58	1617.71	902.178	1001.51	1579.76	1240.68	1163.42	857.76	1099.86	1374.75	1746.12	1013.4
XM_027235068.2	545.065	755.848	546.619	251.383	1007.78	594.127	637.155	840.321	644.107	521.129	405.481	632.208	497.59	696.162	462.748
XM_072057527.1	1364.77	2261.89	1686.62	1357.6	2889.19	1405.69	1334.47	1947.81	2177.07	1142.52	1302.61	1613.88	1187.34	2343.33	1081.35
XM_027260451.2	539	325.489	242.251	270.72	269.096	263.698	191.084	239.829	323.872	227.325	277.122	256.078	245.751	266.466	160.051
XM_027233456.2	7447.84	8886.36	10364.9	9002.15	11253.3	8656.75	6239.73	9214.74	7964.06	5092.7	6186.7	8493.99	9144.81	8801.77	8958.16
XM_027255799.2	19	10	25.031	18.001	24	20	30.036	78.914	9	55	1	16.01	36.002	46	22
XM_027242904.2	0	0	0	0	0	191.81	112.739	0	0	282.003	899.414	648.999	344.933	0	22.61
XM_072075551.1	565	742.802	893.281	623.881	955.719	635.682	792.356	656.403	560.782	621.999	503.267	694.93	707.007	826.767	583.059
XR_003451977.2	91.628	19.759	37.319	27.803	24.568	7.507	86.828	66.064	39.894	52.2	47.562	69.405	85.444	89.313	42.578
XM_027233458.2	7717	11532.8	8882.23	13624.9	12435.4	10145.7	6499.67	7429.95	10399.8	5681.99	4553.87	9873.98	14678.6	12122.8	7822.17
XM_027233476.2	530.877	435.097	521.99	226.716	602.993	337.913	466.451	381.933	427.283	375.164	174.719	448.106	551.709	537.624	551.739
XM_072079138.1	0	0	0	0	0	0	0	0	1.999	0	0	0	0	0	0
XR_003453321.2	1354.22	1424.22	1315.27	2021.89	1085.48	1357.44	1574.19	1543.81	984.665	1468.8	1407.44	1776.88	1870.15	1884.22	1029.84
XR_011821137.1	0	0	0	11.216	0	0	0	0	0	0	0	0	0	0	42.723
XM_072079270.1	1288.77	1290.61	1251.02	926.569	789.572	1708.47	827.38	548.89	255.493	1018.32	2158.73	3424.82	1121.87	2236.91	553.667
XM_027244864.2	259.333	106.099	73.94	100.738	90.807	53.009	148.285	188.68	112.286	101.663	118.415	109.637	89.249	178.37	19.575
XR_011842511.1	0	25.951	16.88	22.229	21.46	8.608	0	0	0	5	24.598	35.674	0	0	0
